,ИД,Факультет,Направление,год поступления,статус,Unnamed: 5,дата изменения,выпуск
17823,289289,МТФ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2009.0,-1,отчислен,277 days,отчислен
17852,289369,ФГО,45.03.02 Лингвистика,2009.0,1,учится,0 days,выпустился
17853,289369,ФГО,45.03.02 Лингвистика,2009.0,-1,отчислен,375 days,выпустился
17854,289369,ФГО,45.03.02 Лингвистика,2009.0,1,учится,719 days,выпустился
17859,289381,ФГО,42.03.01 Реклама и связи с общественностью,2009.0,-1,отчислен,0 days,отчислен
17860,289381,ФГО,42.03.01 Реклама и связи с общественностью,2009.0,1,учится,2 days,отчислен
17861,289381,ФГО,42.03.01 Реклама и связи с общественностью,2009.0,-1,отчислен,400 days,отчислен
17941,289728,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,0 days,отчислен
17942,289728,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,1,учится,208 days,отчислен
17943,289728,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,565 days,отчислен
17944,289728,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,1,учится,687 days,отчислен
17950,289764,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,0 days,отчислен
17951,289764,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,10 days,отчислен
17952,289764,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,392 days,отчислен
17972,289838,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,0 days,отчислен
17997,289949,ЮФ,40.03.01 Юриспруденция,2009.0,-1,отчислен,0 days,отчислен
17998,289949,ЮФ,40.03.01 Юриспруденция,2009.0,1,учится,66 days,отчислен
17999,289949,ЮФ,40.03.01 Юриспруденция,2009.0,-1,отчислен,350 days,отчислен
18035,290025,ФГО,39.03.02 Социальная работа,2009.0,-1,отчислен,0 days,отчислен
18036,290025,ФГО,39.03.02 Социальная работа,2009.0,1,учится,427 days,отчислен
18037,290025,ФГО,39.03.02 Социальная работа,2009.0,-1,отчислен,499 days,отчислен
18072,290144,ФЛА,25.03.01 Техническая эксплуатация летательных аппаратов и двигателей,2009.0,1,учится,0 days,отчислен
18073,290144,ФЛА,25.03.01 Техническая эксплуатация летательных аппаратов и двигателей,2009.0,-1,отчислен,118 days,отчислен
18107,290295,ФМА,13.03.02 Электроэнергетика и электротехника,2009.0,5,повт. обучение,0 days,отчислен
18108,290295,ФМА,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,13 days,отчислен
18109,290295,ФМА,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,229 days,отчислен
18110,290295,ФМА,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,341 days,отчислен
18111,290295,ФМА,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,595 days,отчислен
18144,290423,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,2,ак. отпуск,0 days,выпустился
18145,290423,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,1,учится,207 days,выпустился
18146,290423,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,2,ак. отпуск,468 days,выпустился
18147,290423,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,1,учится,725 days,выпустился
18151,290429,ФМА,38.03.02 Менеджмент,2009.0,-1,отчислен,0 days,отчислен
18152,290429,ФМА,38.03.02 Менеджмент,2009.0,1,учится,351 days,отчислен
18153,290429,ФМА,38.03.02 Менеджмент,2009.0,-1,отчислен,545 days,отчислен
18160,290467,ФБ,38.03.01 Экономика,2009.0,-1,отчислен,0 days,
18161,290467,ФБ,38.03.01 Экономика,2009.0,1,учится,7 days,
18162,290467,ФБ,38.03.01 Экономика,2009.0,-1,отчислен,354 days,
18163,290467,ФБ,38.03.01 Экономика,2009.0,1,учится,430 days,
18236,290793,ЗО ИДО,38.03.01 Экономика,2009.0,-1,отчислен,0 days,
18256,290853,ФГО,39.03.01 Социология,2009.0,-1,отчислен,0 days,отчислен
18257,290853,ФГО,39.03.01 Социология,2009.0,1,учится,236 days,отчислен
18258,290853,ФГО,39.03.01 Социология,2009.0,-1,отчислен,285 days,отчислен
18261,290863,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,2,ак. отпуск,0 days,отчислен
18262,290863,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,102 days,отчислен
18263,290863,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,2,ак. отпуск,543 days,отчислен
18285,290933,МТФ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2009.0,-1,отчислен,0 days,отчислен
18286,290933,МТФ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2009.0,1,учится,221 days,отчислен
18287,290933,МТФ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2009.0,-1,отчислен,318 days,отчислен
18288,290933,МТФ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2009.0,1,учится,697 days,отчислен
18312,290985,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,1,учится,0 days,отчислен
18313,290985,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,-1,отчислен,295 days,отчислен
18314,290985,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,2,ак. отпуск,299 days,отчислен
18315,290985,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,1,учится,362 days,отчислен
18332,291025,МТФ,15.03.04 Автоматизация технологических процессов и производств,2009.0,-1,отчислен,0 days,отчислен
18333,291025,МТФ,15.03.04 Автоматизация технологических процессов и производств,2009.0,1,учится,434 days,отчислен
18334,291025,МТФ,15.03.04 Автоматизация технологических процессов и производств,2009.0,-1,отчислен,561 days,отчислен
18342,291060,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,0 days,выпустился
18392,291240,ЗО ИДО,24.05.07 Самолето- и вертолетостроение,2009.0,1,учится,0 days,отчислен
18393,291240,ЗО ИДО,24.05.07 Самолето- и вертолетостроение,2009.0,-1,отчислен,634 days,отчислен
18417,291351,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,2,ак. отпуск,0 days,отчислен
18418,291351,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2009.0,1,учится,166 days,отчислен
18474,291533,ЮФ,40.03.01 Юриспруденция,2009.0,-1,отчислен,0 days,отчислен
18475,291533,ЮФ,40.03.01 Юриспруденция,2009.0,1,учится,49 days,отчислен
18476,291533,ЮФ,40.03.01 Юриспруденция,2009.0,-1,отчислен,478 days,отчислен
18485,291582,ЗО ИДО,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,2009.0,-1,отчислен,0 days,отчислен
18511,291698,ФЛА,24.03.04 Авиастроение,2009.0,-1,отчислен,0 days,отчислен
18568,291791,АВТФ,27.03.04 Управление в технических системах,2009.0,2,ак. отпуск,0 days,отчислен
18569,291791,АВТФ,27.03.04 Управление в технических системах,2009.0,1,учится,160 days,отчислен
18584,291811,ФЭН,15.03.04 Автоматизация технологических процессов и производств,2009.0,1,учится,0 days,выпустился
18587,291815,ФТФ,12.03.03 Фотоника и оптоинформатика,2009.0,-1,отчислен,0 days,отчислен
18588,291815,ФТФ,12.03.03 Фотоника и оптоинформатика,2009.0,1,учится,216 days,отчислен
18589,291815,ФТФ,12.03.03 Фотоника и оптоинформатика,2009.0,-1,отчислен,350 days,отчислен
18590,291815,ФТФ,12.03.03 Фотоника и оптоинформатика,2009.0,1,учится,426 days,отчислен
18591,291815,ФТФ,12.03.03 Фотоника и оптоинформатика,2009.0,3,переведен,444 days,отчислен
18642,292099,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2009.0,1,учится,0 days,отчислен
18643,292099,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2009.0,-1,отчислен,140 days,отчислен
18644,292099,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2009.0,1,учится,707 days,отчислен
18655,292198,ФГО,45.03.02 Лингвистика,2009.0,-1,отчислен,0 days,отчислен
18722,292744,ФТФ,03.03.02 Физика,2009.0,-1,отчислен,0 days,
18723,292744,ФТФ,03.03.02 Физика,2009.0,1,учится,224 days,
18724,292744,ФТФ,03.03.02 Физика,2009.0,-1,отчислен,728 days,
18812,292962,ФГО,45.03.02 Лингвистика,2009.0,-1,отчислен,0 days,выпустился
18813,292962,ФГО,45.03.02 Лингвистика,2009.0,1,учится,250 days,выпустился
18814,292962,ФГО,45.03.02 Лингвистика,2009.0,-1,отчислен,558 days,выпустился
18841,293016,ЗО ИДО,38.03.01 Экономика,2009.0,-1,отчислен,0 days,отчислен
18842,293016,ЗО ИДО,38.03.01 Экономика,2009.0,1,учится,156 days,отчислен
18875,293145,ФЛА,15.03.03 Прикладная механика,2009.0,-1,отчислен,0 days,выпустился
18876,293145,ФЛА,15.03.03 Прикладная механика,2009.0,1,учится,531 days,выпустился
18880,293155,ЗО ИДО,38.03.02 Менеджмент,2009.0,-1,отчислен,0 days,отчислен
18881,293155,ЗО ИДО,38.03.02 Менеджмент,2009.0,1,учится,299 days,отчислен
18882,293155,ЗО ИДО,38.03.02 Менеджмент,2009.0,-1,отчислен,624 days,отчислен
18897,293172,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2009.0,-1,отчислен,0 days,отчислен
18898,293172,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2009.0,1,учится,493 days,отчислен
18912,293216,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,0 days,выпустился
18913,293216,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,1,учится,26 days,выпустился
18914,293216,АВТФ,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,559 days,выпустился
18963,293510,АВТФ,12.03.01 Приборостроение,2009.0,2,ак. отпуск,0 days,отчислен
18964,293510,АВТФ,12.03.01 Приборостроение,2009.0,1,учится,242 days,отчислен
18965,293510,АВТФ,12.03.01 Приборостроение,2009.0,-1,отчислен,606 days,отчислен
18985,293679,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,0 days,отчислен
18986,293679,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,168 days,отчислен
18991,293701,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2009.0,1,учится,0 days,отчислен
18992,293701,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2009.0,-1,отчислен,225 days,отчислен
19009,293760,ФГО,39.03.01 Социология,2009.0,-1,отчислен,0 days,отчислен
19010,293760,ФГО,39.03.01 Социология,2009.0,1,учится,521 days,отчислен
19011,293760,ФГО,39.03.01 Социология,2009.0,-1,отчислен,539 days,отчислен
19042,293945,ФЛА,20.03.01 Техносферная безопасность,2009.0,1,учится,0 days,отчислен
19043,293945,ФЛА,20.03.01 Техносферная безопасность,2009.0,-1,отчислен,139 days,отчислен
19049,293967,ФЛА,24.03.04 Авиастроение,2009.0,1,учится,0 days,отчислен
19050,293967,ФЛА,24.03.04 Авиастроение,2009.0,3,переведен,599 days,отчислен
19114,294296,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,0 days,выпустился
19115,294296,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,346 days,выпустился
19116,294296,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,639 days,выпустился
19153,294433,ЗО,38.03.01 Экономика,2009.0,2,ак. отпуск,0 days,выпустился
19154,294433,ЗО,38.03.01 Экономика,2009.0,1,учится,671 days,выпустился
19194,294469,ЗО,38.03.01 Экономика,2009.0,-1,отчислен,0 days,отчислен
19195,294469,ЗО,38.03.01 Экономика,2009.0,1,учится,264 days,отчислен
19196,294469,ЗО,38.03.01 Экономика,2009.0,-1,отчислен,573 days,отчислен
19205,294479,ЗО,38.03.01 Экономика,2009.0,1,учится,0 days,выпустился
19236,294536,ФБ,38.03.02 Менеджмент,2009.0,1,учится,0 days,
19237,294536,ФБ,38.03.02 Менеджмент,2009.0,-1,отчислен,148 days,
19288,294688,ЗО ИДО,42.03.01 Реклама и связи с общественностью,2009.0,-1,отчислен,0 days,
19289,294688,ЗО ИДО,42.03.01 Реклама и связи с общественностью,2009.0,1,учится,372 days,
19307,294724,ФЛА,24.03.04 Авиастроение,2009.0,-1,отчислен,0 days,
19308,294724,ФЛА,24.03.04 Авиастроение,2009.0,1,учится,21 days,
19309,294724,ФЛА,24.03.04 Авиастроение,2009.0,-1,отчислен,569 days,
19318,294736,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2009.0,1,учится,0 days,
19331,294770,ФБ,38.03.01 Экономика,2009.0,-1,отчислен,0 days,
19338,294807,ЗО ИДО,19.03.04 Технология продукции и организация общественного питания,2009.0,1,учится,0 days,
19339,294807,ЗО ИДО,19.03.04 Технология продукции и организация общественного питания,2009.0,-1,отчислен,628 days,
19415,294998,ЗО,38.03.01 Экономика,2009.0,-1,отчислен,0 days,отчислен
19416,294998,ЗО,38.03.01 Экономика,2009.0,1,учится,41 days,отчислен
19417,294998,ЗО,38.03.01 Экономика,2009.0,-1,отчислен,515 days,отчислен
19424,295001,ЗО,38.03.01 Экономика,2009.0,-1,отчислен,0 days,отчислен
19535,295273,ЗО,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,0 days,отчислен
19543,295293,ФГО,42.03.01 Реклама и связи с общественностью,2009.0,-1,отчислен,0 days,отчислен
19544,295293,ФГО,42.03.01 Реклама и связи с общественностью,2009.0,1,учится,75 days,отчислен
19545,295293,ФГО,42.03.01 Реклама и связи с общественностью,2009.0,-1,отчислен,276 days,отчислен
19561,295316,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2003.0,1,учится,0 days,отчислен
19562,295316,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2003.0,-1,отчислен,522 days,отчислен
19563,295316,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2003.0,1,учится,560 days,отчислен
19585,295376,ФБ,38.03.01 Экономика,2007.0,1,учится,0 days,выпустился
19586,295376,ФБ,38.03.01 Экономика,2007.0,-1,отчислен,724 days,выпустился
19590,295391,ФБ,38.03.02 Менеджмент,2008.0,1,учится,0 days,выпустился
19591,295391,ФБ,38.03.02 Менеджмент,2008.0,-1,отчислен,726 days,выпустился
19608,295412,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,0 days,выпустился
19625,295446,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,2,ак. отпуск,0 days,выпустился
19626,295446,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,488 days,выпустился
19642,295498,ЗО,38.03.01 Экономика,2009.0,-1,отчислен,0 days,отчислен
19643,295498,ЗО,38.03.01 Экономика,2009.0,1,учится,602 days,отчислен
19712,295671,ЗО,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,0 days,отчислен
19713,295671,ЗО,09.03.01 Информатика и вычислительная техника,2009.0,1,учится,35 days,отчислен
19714,295671,ЗО,09.03.01 Информатика и вычислительная техника,2009.0,-1,отчислен,226 days,отчислен
19715,295671,ЗО,09.03.01 Информатика и вычислительная техника,2009.0,1,учится,546 days,отчислен
19836,296027,ЗО ИДО,38.03.01 Экономика,2007.0,1,учится,0 days,отчислен
19837,296027,ЗО ИДО,38.03.01 Экономика,2007.0,-1,отчислен,280 days,отчислен
19843,296033,ЗО ИДО,15.03.04 Автоматизация технологических процессов и производств,2006.0,1,учится,0 days,отчислен
19849,296037,ФЭН,13.03.02 Электроэнергетика и электротехника,2004.0,-1,отчислен,0 days,отчислен
19850,296037,ФЭН,13.03.02 Электроэнергетика и электротехника,2004.0,1,учится,8 days,отчислен
19851,296037,ФЭН,13.03.02 Электроэнергетика и электротехника,2004.0,-1,отчислен,407 days,отчислен
19852,296037,ФЭН,13.03.02 Электроэнергетика и электротехника,2004.0,1,учится,573 days,отчислен
19941,296177,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2004.0,1,учится,0 days,отчислен
19942,296177,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2004.0,-1,отчислен,371 days,отчислен
19953,296208,ФБ,38.03.01 Экономика,2009.0,-1,отчислен,0 days,отчислен
19954,296208,ФБ,38.03.01 Экономика,2009.0,1,учится,5 days,отчислен
19955,296208,ФБ,38.03.01 Экономика,2009.0,-1,отчислен,252 days,отчислен
19956,296208,ФБ,38.03.01 Экономика,2009.0,1,учится,257 days,отчислен
19957,296208,ФБ,38.03.01 Экономика,2009.0,-1,отчислен,593 days,отчислен
19968,296252,ЗО ИДО,38.03.02 Менеджмент,2003.0,-1,отчислен,0 days,отчислен
19971,296253,ЗО ИДО,09.03.03 Прикладная информатика,2006.0,1,учится,0 days,отчислен
19972,296253,ЗО ИДО,09.03.03 Прикладная информатика,2006.0,-1,отчислен,595 days,отчислен
20063,296388,ФГО,41.03.01 Зарубежное регионоведение,2009.0,-1,отчислен,0 days,отчислен
20064,296388,ФГО,41.03.01 Зарубежное регионоведение,2009.0,1,учится,234 days,отчислен
20065,296388,ФГО,41.03.01 Зарубежное регионоведение,2009.0,-1,отчислен,427 days,отчислен
20091,296433,ЗО ИДО,24.05.07 Самолето- и вертолетостроение,2005.0,-1,отчислен,0 days,отчислен
20092,296433,ЗО ИДО,24.05.07 Самолето- и вертолетостроение,2005.0,1,учится,592 days,отчислен
20127,296487,ФГО,41.03.01 Зарубежное регионоведение,2009.0,-1,отчислен,0 days,отчислен
20128,296487,ФГО,41.03.01 Зарубежное регионоведение,2009.0,1,учится,21 days,отчислен
20169,296626,ЗО ИДО,24.05.07 Самолето- и вертолетостроение,2005.0,-1,отчислен,0 days,
20170,296626,ЗО ИДО,24.05.07 Самолето- и вертолетостроение,2005.0,1,учится,592 days,
20181,296764,ЗО,09.03.01 Информатика и вычислительная техника,1999.0,-1,отчислен,0 days,
20194,296845,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,0 days,
20195,296845,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,137 days,
20196,296845,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,184 days,
20197,296845,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,315 days,
20198,296845,ФЭН,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,430 days,
20235,297046,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2002.0,-1,отчислен,0 days,отчислен
20236,297046,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2002.0,1,учится,111 days,отчислен
20237,297046,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2002.0,-1,отчислен,357 days,отчислен
20238,297046,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2002.0,1,учится,372 days,отчислен
20278,297127,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2007.0,-1,отчислен,0 days,отчислен
20279,297127,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2007.0,1,учится,609 days,отчислен
20474,297680,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,0 days,отчислен
20475,297680,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,288 days,отчислен
20503,297847,ФГО,37.03.01 Психология,2008.0,-1,отчислен,0 days,выпустился
20504,297847,ФГО,37.03.01 Психология,2008.0,1,учится,59 days,выпустился
20505,297847,ФГО,37.03.01 Психология,2008.0,-1,отчислен,159 days,выпустился
20506,297847,ФГО,37.03.01 Психология,2008.0,1,учится,376 days,выпустился
20532,298045,РЭФ,11.03.04 Электроника и наноэлектроника,2008.0,-1,отчислен,0 days,отчислен
20533,298045,РЭФ,11.03.04 Электроника и наноэлектроника,2008.0,1,учится,334 days,отчислен
20571,298464,ЗО,38.03.01 Экономика,2009.0,-1,отчислен,0 days,отчислен
20586,298773,ЗО ИДО,09.03.03 Прикладная информатика,2004.0,-1,отчислен,0 days,
20587,298773,ЗО ИДО,09.03.03 Прикладная информатика,2004.0,1,учится,290 days,
20588,298773,ЗО ИДО,09.03.03 Прикладная информатика,2004.0,-1,отчислен,699 days,
20589,298773,ЗО ИДО,09.03.03 Прикладная информатика,2004.0,2,ак. отпуск,705 days,
20592,298784,ЗО,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,0 days,
20598,298824,ЗО,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,0 days,
20599,298824,ЗО,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,217 days,
20600,298824,ЗО,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,488 days,
20601,298824,ЗО,13.03.02 Электроэнергетика и электротехника,2006.0,1,учится,568 days,
20604,298884,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,0 days,
20605,298884,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2007.0,1,учится,123 days,
20606,298884,ЗО ИДО,13.03.02 Электроэнергетика и электротехника,2007.0,-1,отчислен,513 days,
20613,298925,ЗО ИДО,09.03.01 Информатика и вычислительная техника,2006.0,-1,отчислен,0 days,
20616,298964,АВТФ,09.03.01 Информатика и вычислительная техника,2007.0,-1,отчислен,0 days,
20617,298964,АВТФ,09.03.01 Информатика и вычислительная техника,2007.0,1,учится,12 days,
20618,298964,АВТФ,09.03.01 Информатика и вычислительная техника,2007.0,-1,отчислен,399 days,
20619,298964,АВТФ,09.03.01 Информатика и вычислительная техника,2007.0,1,учится,480 days,
20620,298964,АВТФ,09.03.01 Информатика и вычислительная техника,2007.0,-1,отчислен,545 days,
20625,298984,ЗО ИДО,37.03.01 Психология,2005.0,-1,отчислен,0 days,
20639,299245,ЗО ИДО,11.03.01 Радиотехника,2007.0,-1,отчислен,0 days,отчислен
20640,299245,ЗО ИДО,11.03.01 Радиотехника,2007.0,1,учится,151 days,отчислен
20641,299245,ЗО ИДО,11.03.01 Радиотехника,2007.0,-1,отчислен,299 days,отчислен
20642,299245,ЗО ИДО,11.03.01 Радиотехника,2007.0,1,учится,515 days,отчислен
20649,299344,ЗО ИДО,38.03.01 Экономика,2007.0,3,переведен,0 days,отчислен
20670,299685,ЗО ИДО,38.03.02 Менеджмент,2006.0,-1,отчислен,0 days,выпустился
20671,299685,ЗО ИДО,38.03.02 Менеджмент,2006.0,1,учится,44 days,выпустился
20672,299685,ЗО ИДО,38.03.02 Менеджмент,2006.0,-1,отчислен,392 days,выпустился
20673,299685,ЗО ИДО,38.03.02 Менеджмент,2006.0,1,учится,626 days,выпустился
20746,300824,ФЭН,13.03.02 Электроэнергетика и электротехника,1999.0,-1,отчислен,0 days,
20754,300847,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,-1,отчислен,0 days,
20755,300847,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,1,учится,198 days,
20756,300847,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,-1,отчислен,433 days,
20770,300909,ФЭН,13.03.02 Электроэнергетика и электротехника,2006.0,-1,отчислен,0 days,
20799,301084,ФЭН,13.03.02 Электроэнергетика и электротехника,1998.0,1,учится,0 days,отчислен
20810,301145,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,0 days,выпустился
20811,301145,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,1,учится,220 days,выпустился
20812,301145,ФЭН,13.03.02 Электроэнергетика и электротехника,2009.0,-1,отчислен,674 days,выпустился
20815,301146,ФМА,38.03.02 Менеджмент,2009.0,-1,отчислен,0 days,отчислен
20888,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,-1,отчислен,0 days,отчислен
20889,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,1,учится,80 days,отчислен
20890,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,-1,отчислен,225 days,отчислен
20891,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,1,учится,234 days,отчислен
20892,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,-1,отчислен,367 days,отчислен
20893,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,1,учится,441 days,отчислен
20894,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,-1,отчислен,603 days,отчислен
20895,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,1,учится,631 days,отчислен
20896,301528,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,-1,отчислен,708 days,отчислен
20939,301906,ЗО ИДО,09.03.03 Прикладная информатика,2006.0,-1,отчислен,0 days,отчислен
20943,302064,ЗО ИДО,19.03.04 Технология продукции и организация общественного питания,2007.0,-1,отчислен,0 days,отчислен
20978,302793,ФГО,39.03.02 Социальная работа,2010.0,-1,отчислен,0 days,
20979,302793,ФГО,39.03.02 Социальная работа,2010.0,1,учится,81 days,
20980,302793,ФГО,39.03.02 Социальная работа,2010.0,3,переведен,90 days,
20989,302806,ФГО,42.03.01 Реклама и связи с общественностью,2010.0,-1,отчислен,0 days,
20990,302806,ФГО,42.03.01 Реклама и связи с общественностью,2010.0,1,учится,104 days,
20991,302806,ФГО,42.03.01 Реклама и связи с общественностью,2010.0,-1,отчислен,338 days,
20998,302867,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2010.0,-1,отчислен,0 days,
20999,302867,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2010.0,1,учится,112 days,
21000,302867,ФЭН,13.03.01 Теплоэнергетика и теплотехника,2010.0,-1,отчислен,714 days,
21011,302948,ЗО ИДО,15.03.04 Автоматизация технологических процессов и производств,2007.0,-1,отчислен,0 days,
21014,302950,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,2,ак. отпуск,0 days,
21015,302950,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,1,учится,130 days,
21016,302950,РЭФ,28.03.01 Нанотехнологии и микросистемная техника,2010.0,-1,отчислен,524 days,
21020,302953,ФГО,41.03.01 Зарубежное регионоведение,2010.0,-1,отчислен,0 days,
21021,302953,ФГО,41.03.01 Зарубежное регионоведение,2010.0,1,учится,34 days,
21022,302953,ФГО,41.03.01 Зарубежное регионоведение,2010.0,2,ак. отпуск,293 days,
21023,302953,ФГО,41.03.01 Зарубежное регионоведение,2010.0,1,учится,553 days,
21035,303025,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2010.0,-1,отчислен,0 days,
21036,303025,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2010.0,1,учится,51 days,
21037,303025,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2010.0,-1,отчислен,115 days,
21038,303025,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2010.0,1,учится,198 days,
21039,303025,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2010.0,-1,отчислен,512 days,
21040,303025,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2010.0,1,учится,568 days,
21041,303025,РЭФ,11.03.02 Инфокоммуникационные технологии и системы связи,2010.0,3,переведен,570 days,
21076,303381,АВТФ,09.03.01 Информатика и вычислительная техника,2010.0,-1,отчислен,0 days,отчислен
21077,303381,АВТФ,09.03.01 Информатика и вычислительная техника,2010.0,1,учится,437 days,отчислен
21079,303387,АВТФ,10.03.01 Информационная безопасность,2010.0,-1,отчислен,0 days,отчислен
21080,303387,АВТФ,10.03.01 Информационная безопасность,2010.0,1,учится,61 days,отчислен
21081,303387,АВТФ,10.03.01 Информационная безопасность,2010.0,-1,отчислен,199 days,отчислен
21089,303584,РЭФ,11.03.01 Радиотехника,2010.0,2,ак. отпуск,0 days,выпустился
