,PK,SEMESTER,DNAME,TYPE,MARK,GRADE,BALLS,EXAM_DATE
18158,295273,1,Иностранный язык,зач,з,B+,88.0,2016-09-14 00:00:00
18159,295273,1,Введение в направление,зач,ня,,,2016-09-14 00:00:00
18160,295273,1,Теоретическая информатика,зач,ня,,,2016-09-14 00:00:00
18161,295273,1,Информатика,экз,5,A-,91.0,2016-09-14 00:00:00
18162,295273,1,Математический анализ,экз,5,B+,88.0,2016-09-14 00:00:00
18163,295273,1,Линейная алгебра,экз,5,B+,89.0,2016-09-14 00:00:00
18164,295273,2,Иностранный язык,зач,з,B+,88.0,2016-09-14 00:00:00
18165,295273,2,Дискретная математика,экз,ня,,,2016-09-14 00:00:00
18166,295273,2,Математический анализ,экз,ня,,,2016-09-14 00:00:00
18167,295273,2,Физика,экз,ня,,,2016-09-14 00:00:00
18168,295273,2,Языки программирования,экз,ня,,,2016-09-14 00:00:00
18169,295273,4,Технология программирования,КР,ня,,,2016-09-14 00:00:00
18170,295273,4,Основы теории систем,зач,ня,,,2016-09-14 00:00:00
18171,295273,4,Психология и технологии социального взаимодействия,зач,ня,,,2016-09-14 00:00:00
18172,295273,4,Теория информации,зач,ня,,,2016-09-14 00:00:00
18173,295273,4,Учебная практика: ознакомительная практика,прак,ня,,,2016-09-14 00:00:00
18174,295273,4,Иностранный язык,экз,ня,,,2016-09-14 00:00:00
18175,295273,4,Теория вероятностей и математическая статистика,экз,ня,,,2016-09-14 00:00:00
18176,295273,4,Технология программирования,экз,ня,,,2016-09-14 00:00:00
18177,295273,4,Электроника,экз,ня,,,2016-09-14 00:00:00
18188,295293,1,Психология и педагогика,экз,4,C,75.0,2011-01-13 00:00:00
18189,295293,1,Отечественная история,экз,3,D-,60.0,2011-01-17 00:00:00
18190,295293,1,Социология,экз,3,D-,60.0,2011-01-21 00:00:00
18191,295293,1,Русский язык и культура речи,экз,4,C,75.0,2011-01-25 00:00:00
18192,295293,2,Теория и практика связей с общественностью (СО),зач,з,B-,80.0,2011-06-01 00:00:00
18193,295293,2,Концепции современного естествознания,зач,ня,,,2011-06-03 00:00:00
18194,295293,2,Физическая культура,зач,нз,,,2011-06-06 00:00:00
18195,295293,2,Информатика,зач,з,E,59.0,2011-06-08 00:00:00
18196,295293,2,Культурология,зач,ня,,,2011-06-09 00:00:00
18197,295293,2,Иностранный язык,зач,з,B+,89.0,2011-06-15 00:00:00
18198,295293,2,Философия,экз,3,D-,60.0,2011-06-15 00:00:00
18199,295293,2,Русский язык и культура речи,экз,5,B+,89.0,2011-06-15 00:00:00
18200,295293,2,Всемирная история,экз,3,E,50.0,2011-06-19 00:00:00
18201,295293,2,Культурология,зач,з,E,55.0,2011-06-23 00:00:00
18202,295293,2,История мировой литературы и искусства,зач,з,C-,70.0,2011-07-04 00:00:00
18203,295293,2,Физическая культура,зач,з,,,2011-09-08 00:00:00
18204,295293,2,Концепции современного естествознания,зач,з,E,55.0,2011-09-30 00:00:00
18205,295293,3,Экология,зач,з,B-,80.0,2011-12-16 00:00:00
18206,295293,3,Теория и практика массовой информации,зач,з,E,55.0,2011-12-21 00:00:00
18207,295293,3,Основы журналистики,фак,з,D,63.0,2011-12-22 00:00:00
18208,295293,3,Физическая культура,зач,нз,FX,0.0,2011-12-23 00:00:00
18209,295293,3,Компьютерный дизайн,зач,з,E,50.0,2011-12-26 00:00:00
18210,295293,3,Религиоведение,зач,з,E,50.0,2011-12-27 00:00:00
18211,295293,3,Экономика,зач,нз,FX,0.0,2011-12-29 00:00:00
18212,295293,3,Иностранный язык,экз,4,B,85.0,2012-01-10 00:00:00
18213,295293,3,Стилистика и литературное редактирование,экз,3,E,52.0,2012-01-15 00:00:00
18214,295293,3,Политология,экз,3,E,50.0,2012-01-19 00:00:00
18215,295293,3,Физическая культура,зач,з,,0.0,2012-01-23 00:00:00
18216,295293,3,Риторика и основы ораторского искусства,экз,ня,,0.0,2012-01-24 00:00:00
18217,295293,3,Экономика,зач,з,E,59.0,2012-02-08 00:00:00
18218,295293,3,Риторика и основы ораторского искусства,экз,3,E,50.0,2012-03-22 00:00:00
18219,295293,3,Политология,зач,нд,,,2013-12-23 00:00:00
18220,295293,3,Иностранный язык (2),зач,ня,,,2013-12-28 00:00:00
18221,295293,3,Компьютерная графика и дизайн,зач,нд,,,2014-01-09 00:00:00
18222,295293,3,Технология видеофильма,зач,нд,,,2014-01-10 00:00:00
18223,295293,3,Социология,зач,ня,,,2014-01-10 00:00:00
18224,295293,3,Деловой английский язык,экз,нд,,,2014-01-14 00:00:00
18225,295293,3,Философия,экз,нд,,,2014-01-17 00:00:00
18226,295293,3,Политические коммуникации в современном мире,экз,нд,,,2014-01-21 00:00:00
18227,295293,3,Основы теории коммуникации,экз,нд,,,2014-01-25 00:00:00
18228,295293,3,Математика и статистика,зач,нд,,,2014-01-27 00:00:00
18229,295293,4,Физическая культура,зач,нз,,,2012-05-25 00:00:00
18230,295293,4,Риторика и основы ораторского искусства,зач,з,E,51.0,2012-05-30 00:00:00
18231,295293,4,Основы теории коммуникации,зач,з,C-,70.0,2012-06-04 00:00:00
18232,295293,4,Стилистика и литературное редактирование,зач,з,E,50.0,2012-06-04 00:00:00
18233,295293,4,Основы статистики и бухгалтерского учета,зач,ня,,,2012-06-04 00:00:00
18234,295293,4,Компьютерный дизайн,зач,нд,,,2012-06-05 00:00:00
18235,295293,4,Современные международные отношения,экз,нд,,,2012-06-11 00:00:00
18236,295293,4,Теория и практика связей с общественностью (СО). Второй иностранный язык,зач,з,C+,79.0,2012-06-14 00:00:00
18237,295293,4,Теория и практика массовой информации,экз,3,E,59.0,2012-06-19 00:00:00
18238,295293,4,Современные международные отношения,экз,3,E,50.0,2012-06-27 00:00:00
18239,295293,4,Теория и практика массовой информации,КР,ня,,,2012-06-28 00:00:00
18240,295293,4,Физическая культура,зач,з,,,2012-06-29 00:00:00
18241,295293,4,Учебная практика,прак,5,B+,89.0,2012-09-29 00:00:00
18242,295293,4,Теория и практика массовой информации,КР,3,E,50.0,2012-10-05 00:00:00
18243,295293,4,Основы статистики и бухгалтерского учета,зач,з,C,75.0,2012-10-29 00:00:00
18244,295293,4,Компьютерный дизайн,зач,з,E,51.0,2012-10-29 00:00:00
18246,295316,1,Иностранный язык,зач,з,C,70.0,2013-11-26 00:00:00
18247,295316,1,Линейная алгебра и аналитическая геометрия,экз,3,D,65.0,2013-11-26 00:00:00
18248,295316,1,Математика,экз,3,D,65.0,2013-11-26 00:00:00
18249,295316,1,Информатика,экз,4,B,85.0,2013-11-26 00:00:00
18250,295316,1,Физика,экз,4,C,76.0,2013-11-26 00:00:00
18251,295316,1,Введение в специальность,зач,4,B,86.0,2015-01-29 00:00:00
18252,295316,1,Теоретическая информатика,зач,4,C,75.0,2015-03-17 00:00:00
18253,295316,2,История,зач,3,D,65.0,2013-11-26 00:00:00
18254,295316,2,Электротехника,зач,4,B,85.0,2013-11-26 00:00:00
18255,295316,2,Иностранный язык,зач,5,A,95.0,2013-11-26 00:00:00
18256,295316,2,Математика,экз,3,D,65.0,2013-11-26 00:00:00
18257,295316,2,Физика,экз,4,B,85.0,2013-11-26 00:00:00
18258,295316,2,Специальные главы математики,экз,5,A,95.0,2013-11-26 00:00:00
18259,295316,2,Дополнительные главы информатики,экз,4,B,86.0,2015-01-28 00:00:00
18260,295316,3,Специальные главы математики,зач,3,C-,72.0,2013-11-26 00:00:00
18261,295316,3,Метрология и измерительная техника,зач,3,E,59.0,2013-11-26 00:00:00
18262,295316,3,Иностранный язык,зач,з,A,95.0,2013-11-26 00:00:00
18263,295316,3,Философия,экз,3,C,79.0,2013-11-26 00:00:00
18264,295316,3,Электроника,экз,3,D,65.0,2013-11-26 00:00:00
18265,295316,3,Программирование,КР,3,C-,72.0,2015-01-29 00:00:00
18266,295316,3,Программирование,экз,3,C-,71.0,2015-01-29 00:00:00
18267,295316,4,Правоведение,зач,3,E,51.0,2013-11-26 00:00:00
18268,295316,4,Иностранный язык,зач,5,A,95.0,2013-11-26 00:00:00
18269,295316,4,Социальные технологии,зач,4,B,83.0,2014-08-04 00:00:00
18270,295316,4,Теория информации,зач,4,B,83.0,2014-08-04 00:00:00
18271,295316,4,Схемотехника,зач,3,D,64.0,2014-08-11 00:00:00
18272,295316,4,Технология программирования,КР,4,C,74.0,2015-07-01 00:00:00
18273,295316,4,Технология программирования,экз,4,C,74.0,2015-07-01 00:00:00
18274,295316,4,Теория вероятностей и математическая статистика,экз,3,,,2015-10-28 00:00:00
18301,295376,1,Микроэкономика,зач,з,,,2013-05-15 00:00:00
18302,295376,2,Методы активизации творческого мышления,зач,з,B,85.0,2013-02-19 00:00:00
18303,295376,3,Макроэкономика,зач,з,,,2013-05-18 00:00:00
18347,295391,1,Введение в специальность,зач,з,,,2013-11-29 00:00:00
18348,295391,1,Иностранный язык,зач,з,,,2013-11-29 00:00:00
18349,295391,1,Информатика,зач,з,,,2013-11-29 00:00:00
18350,295391,1,Физическая культура,зач,з,,,2013-11-29 00:00:00
18351,295391,1,История экономики,экз,3,,,2013-11-29 00:00:00
18352,295391,1,Линейная алгебра,экз,3,,,2013-11-29 00:00:00
18353,295391,1,Математический анализ,экз,3,,,2013-11-29 00:00:00
18354,295391,1,Экология,экз,3,,,2013-11-29 00:00:00
18355,295391,2,Информатика,зач,з,,,2013-11-29 00:00:00
18356,295391,2,Математическое программирование,зач,з,,,2013-11-29 00:00:00
18357,295391,2,Политология,зач,з,,,2013-11-29 00:00:00
18358,295391,2,Физическая культура,зач,з,,,2013-11-29 00:00:00
18359,295391,2,Экономическая теория,зач,з,,,2013-11-29 00:00:00
18360,295391,2,Учебная (ознакомительная) практика,прак,4,,,2013-11-29 00:00:00
18361,295391,2,Иностранный язык,экз,3,,,2013-11-29 00:00:00
18362,295391,2,Математический анализ,экз,3,,,2013-11-29 00:00:00
18363,295391,2,Отечественная история,экз,3,,,2013-11-29 00:00:00
18364,295391,3,Инновационные производственные технологии,КР,3,,,2013-11-29 00:00:00
18365,295391,3,Экономическая теория,КР,3,,,2013-11-29 00:00:00
18366,295391,3,Деловой иностранный язык,зач,з,,,2013-11-29 00:00:00
18367,295391,3,Информатика,зач,з,,,2013-11-29 00:00:00
18368,295391,3,Концепции современного естествознания,зач,з,,,2013-11-29 00:00:00
18369,295391,3,Физическая культура,зач,з,,,2013-11-29 00:00:00
18370,295391,3,Инновационные производственные технологии,экз,3,,,2013-11-29 00:00:00
18371,295391,3,Теория вероятностей и математическая статистика,экз,3,,,2013-11-29 00:00:00
18372,295391,3,Философия,экз,3,,,2013-11-29 00:00:00
18373,295391,3,Экономическая теория,экз,3,,,2013-11-29 00:00:00
18374,295391,4,Экономика отрасли и предприятия,КР,3,C-,,2013-11-29 00:00:00
18375,295391,4,Физическая культура,зач,з,C+,,2013-11-29 00:00:00
18376,295391,4,Основы менеджмента,зач,з,D,,2013-11-29 00:00:00
18377,295391,4,Информационные ресурсы в менеджменте,зач,з,D+,,2013-11-29 00:00:00
18378,295391,4,Информационные технологии в антикризисном управлении,зач,з,D+,,2013-11-29 00:00:00
18379,295391,4,Русский язык и культура речи,зач,з,D+,,2013-11-29 00:00:00
18380,295391,4,История экономики и экономических учений,зач,з,E,,2013-11-29 00:00:00
18381,295391,4,Производственная практика,прак,4,C+,,2013-11-29 00:00:00
18382,295391,4,Эконометрика,экз,3,E,55.0,2013-11-29 00:00:00
18383,295391,4,Экономика отрасли и предприятия,экз,3,,,2013-11-29 00:00:00
18384,295391,4,Экономико-математические методы,экз,3,,,2013-11-29 00:00:00
18385,295391,4,Деловой иностранный язык,экз,5,A,,2013-11-29 00:00:00
18451,295412,1,Физическая культура,зач,з,,,2012-01-24 00:00:00
18452,295412,1,Инженерная графика,зач,3,D,65.0,2015-01-19 00:00:00
18453,295412,1,Иностранный язык,зач,з,C,70.0,2015-01-19 00:00:00
18454,295412,1,Линейная алгебра и аналитическая геометрия,экз,3,D,65.0,2015-01-19 00:00:00
18455,295412,1,Математический анализ,экз,3,D,65.0,2015-01-19 00:00:00
18456,295412,1,История,зач,3,D-,62.0,2015-06-16 00:00:00
18457,295412,1,Введение в направление,зач,з,E,55.0,2015-06-16 00:00:00
18458,295412,2,Физическая культура,зач,з,,,2012-06-13 00:00:00
18459,295412,2,Иностранный язык,зач,з,C,70.0,2015-01-19 00:00:00
18460,295412,2,Культура и личность,зач,з,C,70.0,2015-01-19 00:00:00
18461,295412,2,Правоведение,зач,з,C,70.0,2015-01-19 00:00:00
18462,295412,2,Математический анализ,экз,3,D,65.0,2015-01-19 00:00:00
18463,295412,2,Физика,экз,3,D,65.0,2015-01-19 00:00:00
18464,295412,2,Информатика,зач,3,C-,70.0,2015-06-10 00:00:00
18465,295412,3,Физическая культура,зач,з,,,2012-06-19 00:00:00
18466,295412,3,Информатика,зач,з,C,70.0,2015-01-19 00:00:00
18467,295412,3,Иностранный язык,зач,з,D,65.0,2015-01-19 00:00:00
18468,295412,3,Теория функций комплексного переменного,зач,з,D,65.0,2015-01-19 00:00:00
18469,295412,3,Физика,экз,3,D,65.0,2015-01-19 00:00:00
18470,295412,3,Общая энергетика,зач,3,E,50.0,2015-01-23 00:00:00
18471,295412,3,Химия,экз,3,D-,60.0,2015-02-16 00:00:00
18472,295412,3,Социальные технологии,зач,з,C-,70.0,2015-04-22 00:00:00
18473,295412,4,Физическая культура,зач,з,,,2012-06-30 00:00:00
18474,295412,4,Иностранный язык,зач,3,D,65.0,2015-01-19 00:00:00
18475,295412,4,Теория вероятностей и математическая статистика,зач,3,D,65.0,2015-01-19 00:00:00
18476,295412,4,Физика,экз,3,D,65.0,2015-01-19 00:00:00
18477,295412,4,Электротехническое и конструкционное материаловедение,зач,3,D,63.0,2015-01-22 00:00:00
18478,295412,4,Философия,зач,3,C-,70.0,2015-04-23 00:00:00
18479,295412,4,Механика,экз,3,E,50.0,2015-06-01 00:00:00
18519,295446,1,Физическая культура и спорт,зач,з,,,2013-01-16 00:00:00
18520,295446,1,Иностранный язык,зач,з,C-,70.0,2013-10-03 00:00:00
18521,295446,1,Линейная алгебра,экз,3,D,65.0,2013-10-03 00:00:00
18522,295446,1,Математический анализ,экз,3,D,65.0,2013-10-03 00:00:00
18523,295446,1,Физика,экз,3,D,65.0,2013-10-03 00:00:00
18524,295446,1,История,экз,5,A,95.0,2014-01-16 00:00:00
18525,295446,1,Введение в направление,зач,з,C-,70.0,2014-01-20 00:00:00
18526,295446,1,Учебная практика: ознакомительная практика,прак,5,A-,90.0,2016-02-24 00:00:00
18527,295446,2,Физическая культура и спорт,зач,з,,,2013-06-17 00:00:00
18528,295446,2,Инженерная графика,зач,3,D,65.0,2013-10-03 00:00:00
18529,295446,2,Иностранный язык,зач,з,C,70.0,2013-10-03 00:00:00
18530,295446,2,Информатика,зач,з,C,70.0,2013-10-03 00:00:00
18531,295446,2,Основы личностной и коммуникативной культуры,зач,з,C,70.0,2013-10-03 00:00:00
18532,295446,2,Математический анализ,экз,3,D,65.0,2013-10-03 00:00:00
18533,295446,2,Физика,экз,3,C-,70.0,2014-01-10 00:00:00
18534,295446,3,Иностранный язык,зач,з,C,70.0,2013-10-03 00:00:00
18535,295446,3,Физика,экз,3,D,65.0,2013-10-03 00:00:00
18536,295446,3,Физическая культура и спорт,зач,з,,,2014-01-20 00:00:00
18537,295446,3,Механика,экз,3,D-,60.0,2014-01-24 00:00:00
18538,295446,3,Информатика 2,экз,3,D+,68.0,2014-01-28 00:00:00
18539,295446,3,Психология и технологии социального взаимодействия,зач,з,D-,60.0,2014-01-31 00:00:00
18540,295446,3,Теория функций комплексного переменного,зач,3,E,59.0,2014-02-03 00:00:00
18541,295446,3,Математический анализ,экз,3,D,65.0,2016-01-25 00:00:00
18542,295446,4,Иностранный язык,экз,3,D,65.0,2013-10-03 00:00:00
18543,295446,4,Теоретические основы электротехники,экз,3,D,65.0,2013-10-03 00:00:00
18544,295446,4,Теория вероятностей и математическая статистика,экз,4,B,85.0,2013-10-03 00:00:00
18545,295446,4,Электротехническое и конструкционное материаловедение,зач,4,C+,77.0,2014-01-16 00:00:00
18546,295446,4,Философия,зач,3,C-,70.0,2014-01-17 00:00:00
18547,295446,4,Химия,экз,3,D-,60.0,2014-01-17 00:00:00
18548,295446,4,Физическая культура и спорт,зач,з,,,2014-06-15 00:00:00
18591,295498,1,Концепции современного естествознания,зач,з,C,73.0,2014-03-11 00:00:00
18592,295498,1,Социология,зач,з,C,73.0,2014-03-11 00:00:00
18593,295498,1,Иностранный язык,зач,з,C-,72.0,2014-03-11 00:00:00
18594,295498,1,Линейная алгебра,экз,3,D,65.0,2014-03-11 00:00:00
18595,295498,1,Математический анализ,экз,3,D,65.0,2014-03-11 00:00:00
18596,295498,1,История,экз,4,C,75.0,2014-03-11 00:00:00
18597,295498,1,Введение в специальность,зач,з,D,65.0,2014-06-25 00:00:00
18598,295498,2,Микроэкономика,зач,з,C,75.0,2014-03-11 00:00:00
18599,295498,2,Теория вероятностей и математическая статистика,зач,з,D,63.0,2014-03-11 00:00:00
18600,295498,2,Иностранный язык,зач,з,D-,63.0,2014-03-11 00:00:00
18601,295498,2,Безопасность жизнедеятельности,зач,ня,,,2014-03-11 00:00:00
18602,295498,2,Математический анализ,экз,3,D,65.0,2014-03-11 00:00:00
18603,295498,2,Философия,экз,4,C,75.0,2014-03-11 00:00:00
18604,295498,2,История экономики,экз,5,B+,88.0,2014-03-11 00:00:00
18605,295498,3,Иностранный язык,зач,3,D-,63.0,2014-03-11 00:00:00
18606,295498,3,Культура и личность,зач,з,B,85.0,2014-03-11 00:00:00
18607,295498,3,Методы оптимальных решений,зач,ня,,,2014-03-11 00:00:00
18608,295498,3,Статистика,зач,ня,,,2014-03-11 00:00:00
18609,295498,3,Теория вероятностей и математическая статистика,экз,3,D-,63.0,2014-03-11 00:00:00
18610,295498,3,Микроэкономика,экз,4,C,75.0,2014-03-11 00:00:00
18611,295498,3,Информатика,зач,4,B,84.0,2014-04-22 00:00:00
18612,295498,4,Теория игр,экз,ня,,,2014-06-23 00:00:00
18613,295498,4,Экономика предприятия (организации),КР,ня,,,2014-07-01 00:00:00
18614,295498,4,Деловой иностранный язык,зач,ня,,,2014-07-01 00:00:00
18615,295498,4,Экономика предприятия (организации),экз,ня,,,2014-07-01 00:00:00
18616,295498,4,Макроэкономика,зач,ня,,,2014-07-03 00:00:00
18617,295498,4,Институциональная экономика,экз,ня,,,2014-07-03 00:00:00
18618,295498,4,История экономических учений,экз,ня,,,2014-07-03 00:00:00
18619,295498,4,Статистика,экз,ня,,,2014-07-03 00:00:00
18634,295671,1,Иностранный язык,зач,з,C,70.0,2014-02-04 00:00:00
18635,295671,1,Введение в специальность,зач,ня,,,2014-02-04 00:00:00
18636,295671,1,Теоретическая информатика,зач,ня,,,2014-02-04 00:00:00
18637,295671,1,Линейная алгебра и аналитическая геометрия,экз,3,D,65.0,2014-02-04 00:00:00
18638,295671,1,Математика,экз,3,D,65.0,2014-02-04 00:00:00
18639,295671,1,Физика,экз,3,E,50.0,2014-02-04 00:00:00
18640,295671,1,Информатика,экз,4,B,85.0,2014-02-04 00:00:00
18641,295671,2,История,зач,ня,,,2013-11-28 00:00:00
18642,295671,2,Математика,экз,ня,,,2013-11-28 00:00:00
18643,295671,2,Специальные главы математики,экз,ня,,,2013-11-28 00:00:00
18644,295671,2,Иностранный язык,зач,3,D,65.0,2014-02-04 00:00:00
18645,295671,2,Электротехника,зач,3,E,51.0,2014-02-04 00:00:00
18646,295671,2,Физика,экз,3,D,65.0,2014-02-04 00:00:00
18647,295671,2,Дополнительные главы информатики,экз,5,A,95.0,2014-02-04 00:00:00
18665,296027,1,История,экз,ня,,,2013-01-18 00:00:00
18666,296027,1,Социология,зач,ня,,,2013-01-22 00:00:00
18667,296027,1,Математический анализ,экз,ня,,,2013-01-29 00:00:00
18668,296027,1,Иностранный язык,зач,ня,,,2013-02-01 00:00:00
18669,296027,1,Введение в специальность,зач,ня,,,2013-02-04 00:00:00
18670,296027,1,Линейная алгебра,экз,3,E,55.0,2013-02-09 00:00:00
18671,296027,1,Деловая этика,зач,ня,,,2013-06-26 00:00:00
18672,296027,1,Концепции современного естествознания,зач,ня,,,2013-07-03 00:00:00
18673,296027,2,Математический анализ,экз,ня,,,2013-06-13 00:00:00
18674,296027,2,Иностранный язык,зач,ня,,,2013-06-17 00:00:00
18675,296027,2,Теория вероятностей и математическая статистика,зач,ня,,,2013-06-22 00:00:00
18676,296027,2,История экономики,экз,ня,,,2013-06-25 00:00:00
18677,296027,2,Философия,экз,ня,,,2013-06-28 00:00:00
18678,296027,2,Микроэкономика,зач,ня,,,2013-07-01 00:00:00
18679,296027,2,Безопасность жизнедеятельности,зач,ня,,,2013-07-04 00:00:00
18680,296027,3,Русский язык и культура делового общения,зач,ня,,,2013-01-26 00:00:00
18681,296033,1,Математический анализ,экз,ня,,,2013-01-24 00:00:00
18682,296033,1,Введение в специальность,зач,ня,,,2013-01-29 00:00:00
18683,296033,1,История,экз,ня,,,2013-01-29 00:00:00
18684,296033,1,Линейная алгебра,экз,ня,,,2013-01-29 00:00:00
18685,296033,1,Инженерная и компьютерная графика,зач,ня,,,2013-02-05 00:00:00
18686,296033,1,Иностранный язык,зач,ня,,,2013-02-12 00:00:00
18687,296033,2,Физика,экз,ня,,,2013-06-22 00:00:00
18688,296033,2,Математический анализ,экз,ня,,,2013-06-27 00:00:00
18689,296033,2,Информатика,зач,ня,,,2013-07-03 00:00:00
18690,296033,2,Правоведение,экз,ня,,,2013-07-08 00:00:00
18691,296033,2,Культура и личность,зач,ня,,,2013-07-09 00:00:00
18692,296033,2,Социальные технологии,зач,ня,,,2013-07-09 00:00:00
18693,296033,2,Иностранный язык,зач,ня,,,2013-07-11 00:00:00
18694,296033,3,Экономическая теория,экз,ня,,,2014-01-18 00:00:00
18695,296033,3,Физика,экз,ня,,,2014-01-22 00:00:00
18696,296033,3,Функции комплексного переменного и теория поля,зач,ня,,,2014-01-30 00:00:00
18697,296033,3,Информационные технологии,экз,ня,,,2014-02-10 00:00:00
18698,296033,3,Гидрогазодинамика,зач,ня,,,2014-02-11 00:00:00
18699,296033,3,Философия,экз,ня,,,2014-02-11 00:00:00
18700,296033,3,Иностранный язык,зач,ня,,,2014-02-14 00:00:00
18701,296033,4,Физика,экз,ня,,,2014-07-02 00:00:00
18702,296033,4,Теоретическая механика,экз,ня,,,2014-07-03 00:00:00
18703,296033,4,Иностранный язык,зач,ня,,,2014-08-04 00:00:00
18704,296033,4,Программирование и алгоритмизация,зач,ня,,,2014-08-04 00:00:00
18705,296033,4,Специальные главы высшей математики,зач,ня,,,2014-08-04 00:00:00
18706,296033,4,Электротехника и электроника (введение),экз,ня,,,2014-08-11 00:00:00
18713,296037,1,Иностранный язык,зач,з,C,73.0,2018-02-21 00:00:00
18714,296037,1,Физическая культура и спорт,зач,з,,,2018-02-21 00:00:00
18715,296037,1,Учебная практика: ознакомительная практика,прак,з,B+,87.0,2018-02-21 00:00:00
18716,296037,1,История,экз,4,B,85.0,2018-02-21 00:00:00
18717,296037,1,Линейная алгебра,экз,4,B,85.0,2018-02-21 00:00:00
18718,296037,1,Математический анализ,экз,4,B,85.0,2018-02-21 00:00:00
18719,296037,1,Физика,экз,4,B,85.0,2018-02-21 00:00:00
18720,296037,1,Введение в направление,зач,з,A-,90.0,2018-04-16 00:00:00
18721,296037,2,Инженерная графика,зач,з,A,95.0,2018-02-21 00:00:00
18722,296037,2,Иностранный язык,зач,з,B,85.0,2018-02-21 00:00:00
18723,296037,2,Информатика,зач,з,C,73.0,2018-02-21 00:00:00
18724,296037,2,Основы личностной и коммуникативной культуры,зач,з,C,73.0,2018-02-21 00:00:00
18725,296037,2,Физическая культура и спорт,зач,з,,,2018-02-21 00:00:00
18726,296037,2,Математический анализ,экз,4,B,85.0,2018-02-21 00:00:00
18727,296037,2,Физика,экз,5,A,95.0,2018-02-21 00:00:00
18728,296037,3,Теория функций комплексного переменного,зач,з,A,95.0,2018-02-21 00:00:00
18729,296037,3,Иностранный язык,зач,з,C,73.0,2018-02-21 00:00:00
18730,296037,3,Психология и технологии социального взаимодействия,зач,з,C,73.0,2018-02-21 00:00:00
18731,296037,3,Физическая культура и спорт,зач,з,,,2018-02-21 00:00:00
18732,296037,3,Физика,экз,3,D,65.0,2018-02-21 00:00:00
18733,296037,3,Математический анализ,экз,ня,,,2018-02-21 00:00:00
18734,296037,3,Информатика 2,экз,4,B,83.0,2018-04-12 00:00:00
18735,296037,3,Механика,экз,4,C,75.0,2018-04-30 00:00:00
18736,296037,4,Философия,зач,4,B,85.0,2018-02-21 00:00:00
18737,296037,4,Электротехническое и конструкционное материаловедение,зач,з,C,73.0,2018-02-21 00:00:00
18738,296037,4,Физическая культура и спорт,зач,з,,,2018-02-21 00:00:00
18739,296037,4,Специальные главы высшей математики,экз,3,D,65.0,2018-02-21 00:00:00
18740,296037,4,Иностранный язык,экз,4,B,85.0,2018-02-21 00:00:00
18741,296037,4,Теоретические основы электротехники,экз,4,B,85.0,2018-02-21 00:00:00
18742,296037,4,Химия,экз,5,A,95.0,2018-02-21 00:00:00
18769,296177,1,Иностранный язык,зач,з,C,70.0,2015-10-06 00:00:00
18770,296177,1,Введение в специальность,зач,ня,,,2015-10-06 00:00:00
18771,296177,1,Инженерная графика,зач,ня,,,2015-10-06 00:00:00
18772,296177,1,Линейная алгебра,экз,4,B,85.0,2015-10-06 00:00:00
18773,296177,1,История,экз,ня,,,2015-10-06 00:00:00
18774,296177,1,Математический анализ,экз,ня,,,2015-10-06 00:00:00
18775,296177,2,Иностранный язык,зач,з,C,70.0,2015-10-06 00:00:00
18776,296177,2,Информатика,зач,ня,,,2015-10-06 00:00:00
18777,296177,2,Культура и личность,зач,ня,,,2015-10-06 00:00:00
18778,296177,2,Социальные технологии,зач,ня,,,2015-10-06 00:00:00
18779,296177,2,Физика,экз,3,D,65.0,2015-10-06 00:00:00
18780,296177,2,Математический анализ,экз,ня,,,2015-10-06 00:00:00
18781,296177,2,Правоведение,экз,ня,,,2015-10-06 00:00:00
18782,296177,3,Иностранный язык,зач,з,D,65.0,2015-10-06 00:00:00
18783,296177,3,Общая энергетика,зач,ня,,,2015-10-06 00:00:00
18784,296177,3,Функции комплексного переменного и теория поля,зач,ня,,,2015-10-06 00:00:00
18785,296177,3,Физика,экз,3,D,65.0,2015-10-06 00:00:00
18786,296177,3,Информатика,экз,ня,,,2015-10-06 00:00:00
18787,296177,3,Философия,экз,ня,,,2015-10-06 00:00:00
18788,296177,3,Экономическая теория,экз,ня,,,2015-10-06 00:00:00
18789,296177,4,Иностранный язык,зач,з,D,65.0,2015-10-06 00:00:00
18790,296177,4,Программирование и алгоритмизация,зач,ня,,,2015-10-06 00:00:00
18791,296177,4,Специальные главы высшей математики,зач,ня,,,2015-10-06 00:00:00
18792,296177,4,Физика,экз,3,D,65.0,2015-10-06 00:00:00
18793,296177,4,Теоретическая механика,экз,ня,,,2015-10-06 00:00:00
18794,296177,4,Теоретические основы электротехники,экз,ня,,,2015-10-06 00:00:00
18795,296177,4,Основы преобразования энергии в электротехнических системах,зач,ня,,,2016-08-16 00:00:00
18812,296208,1,Религия в современном мире,зач,нз,FX,30.0,2011-12-26 00:00:00
18813,296208,1,Особенности образовательных технологий,зач,з,E,50.0,2011-12-27 00:00:00
18814,296208,1,Психология,зач,з,C-,72.0,2011-12-28 00:00:00
18815,296208,1,Русский язык и культура речи,зач,з,E,51.0,2011-12-28 00:00:00
18816,296208,1,История,экз,3,D,65.0,2012-01-11 00:00:00
18817,296208,1,История туризма,экз,2,FX,30.0,2012-01-14 00:00:00
18818,296208,1,Религия в современном мире,зач,з,E,50.0,2012-01-16 00:00:00
18819,296208,1,География,экз,4,B,83.0,2012-01-17 00:00:00
